county,state,lat,lon,total_population,population_density_per_sqmi,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,teen_birth_rate,percent_uninsured,high_school_graduation_rate,percent_some_college,labor_force,percent_children_in_poverty,social_association_rate,violent_crime_rate,percent_severe_housing_problems,overcrowding,inadequate_facilities,life_expectancy,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,average_grade_performance,median_household_income,percent_enrolled_in_free_or_reduced_lunch,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_not_proficient_in_english,percent_female,percent_rural,per_capita_income,percentile_rank_below_poverty,percentile_rank_unemployed,percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_disabled,percentile_rank_single_parent_households,percentile_rank_household_comp_disability_theme,percentile_rank_minorities,percentile_rank_limited_english_abilities,percentile_rank_minority_status_and_language_theme,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_overcrowding,percentile_rank_no_vehicle,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability,mean_winter_temp,mean_summer_temp,cluster
Lee,Illinois,41.74620692,-89.3004019,34718,47.8963572,15.23854143,16.01859513,37.1,27.7,19.58777584,24.23140997,5.810965727,83.3757329,62.42754052,17831,14.3,13.66040807,141.6221639,10.40355424,1.517956313,0.851536468,78.74511436,10.45377804,11.48777074,8.4,9.9,29.67133007,2.903452355,54915.0,44.18493804,133.6825754,72.81553398,8.859900468,19.6943576,19.60085323,0.707640689,46.89828478,53.21251145,27021.0,0.263,0.4368,0.3069,0.4257,0.3231,0.5237,0.2146,0.3337,0.5084,0.2015,0.4394,0.5629,0.503,0.6472,0.1869,0.3709,0.4877,0.916,0.5393,0.3448,31.14352061,72.92786885,2
Livingston,Illinois,40.8915759,-88.55772436,37278,35.69910269,15.27544971,15.97755374,34.3,26.9,20.11802621,26.45433009,5.722268587,93.65670478,52.44460077,16610,16.3,16.70409113,183.6448093,12.151463,1.204819277,1.135972461,76.90120832,10.47442141,11.78139863,10.3,10.7,30.22720485,3.124268453,59323.0,44.05316762,69.77940088,72.06703911,11.6528628,21.45353877,19.20527949,0.276605037,49.84759934,40.80359435,26777.0,0.3161,0.3964,0.3187,0.4257,0.3343,0.5018,0.3957,0.4212,0.7342,0.5279,0.384,0.383,0.3626,0.6593,0.2455,0.2413,0.5985,0.9118,0.5648,0.397,33.01097516,75.11704918,2
Logan,Illinois,40.12456858,-89.36754864,29820,48.24803979,14.04613496,14.93606939,36.1,24.3,20.78006121,25.22901337,5.251630245,82.15747664,60.83200425,12852,17.0,15.38724568,233.229875,7.989105765,0.771674989,0.544711757,76.9865977,9.968798358,11.26618677,18.2,10.0,30.69956596,3.038568018,52959.0,45.66712517,75.20938991,72.74650478,7.614117647,19.35695765,18.27139153,0.24600246,49.23076923,39.86470879,23410.0,0.2932,0.5425,0.5654,0.489,0.475,0.4683,0.1063,0.483,0.7539,0.3359,0.5839,0.1799,0.3604,0.6202,0.1461,0.0923,0.5985,0.9825,0.447,0.3938,33.2384297,76.67704918,2
Macon,Illinois,39.85998925,-88.9616116,108404,186.6822694,16.33762363,16.43921804,31.5,29.6,17.84650861,35.59056417,5.536222714,84.80878148,64.5756011,49961,27.0,15.31176454,389.6055303,13.0962996,1.448952296,0.891662951,77.54441363,11.23352399,12.45248514,14.4,14.0,31.50818394,2.786818504,50684.0,50.4509018,188.697868,69.5395915,12.05974038,22.10825884,20.01680801,0.273111976,52.09909084,15.26162791,27010.0,0.6883,0.8539,0.3082,0.3292,0.5657,0.5524,0.476,0.4731,0.8211,0.7364,0.6151,0.2588,0.4238,0.8656,0.0968,0.3346,0.8848,0.7138,0.7001,0.6301,34.17016708,76.27147541,1
Macoupin,Illinois,39.26101161,-89.92443787,46482,53.86603486,14.360908,15.81453097,28.0,23.4,19.8585916,20.66374452,5.953568262,87.94044723,62.71316344,23066,19.3,16.06301985,170.073812,10.55718475,1.487603306,0.906424953,76.75389786,10.44759766,11.95707162,15.2,10.6,30.85033473,3.02936428,53409.0,49.63697967,38.62013113,76.28915406,9.541395657,21.2830755,19.87509103,0.20714894,50.54620087,58.51355595,26779.0,0.3317,0.8007,0.3184,0.2999,0.4292,0.6437,0.3757,0.5419,0.5145,0.5498,0.0605,0.2273,0.1003,0.3454,0.3779,0.3547,0.3814,0.511,0.2343,0.2658,34.38709091,74.74392857,2
Madison,Illinois,38.82987917,-89.90514231,266759,372.7071505,15.32785539,16.47696423,36.9,23.9,20.93910179,23.23041072,4.920569001,86.98533872,70.14351539,134575,17.3,13.63835014,248.7263753,12.09643508,1.051254497,1.051254497,76.74025434,10.24866297,11.66902725,10.8,11.6,33.09000101,3.054919217,60121.0,44.65838178,155.8447132,70.76145346,11.88916202,21.83913696,17.19913333,0.376967788,51.30926677,13.34066146,29100.0,0.3422,0.6813,0.1894,0.1178,0.297,0.3225,0.4543,0.2267,0.5931,0.2076,0.4674,0.2658,0.3397,0.6543,0.1229,0.1751,0.5985,0.5129,0.27,0.2165,34.75036364,76.16229508,2
Marion,Illinois,38.64960054,-88.91898577,38503,67.26895843,16.71555064,17.38311296,29.6,32.3,18.72189336,43.08932846,6.173415024,82.0807188,60.91023155,17778,30.2,22.42625719,347.0662692,12.94191919,2.051767677,1.893939394,74.30358286,11.51662044,12.75858169,17.3,12.6,30.90017546,3.029193374,46096.0,65.81183377,126.892718,73.37397097,9.946923531,23.22700691,19.69165338,0.420344683,51.10845295,45.05667267,23366.0,0.6651,0.7752,0.5702,0.4091,0.6393,0.6151,0.5479,0.6991,0.8029,0.9067,0.3069,0.3919,0.3168,0.5142,0.7026,0.5489,0.7182,0.5123,0.7507,0.7227,35.55618182,77.67901639,1
Marshall,Illinois,41.03317278,-89.34476445,12060,31.1795245,13.49488636,14.47747257,26.5,26.5,20.258272,27.5893261,5.886287625,86.50638298,60.65708419,5510,13.6,17.9028133,161.1170784,9.485368315,1.009081736,0.201816347,76.96455476,9.922487358,11.34561809,13.5,9.2,28.96727618,3.23773315,57422.0,46.57534247,37.96180915,82.09687308,8.386009271,19.94971389,23.46107161,0.20640761,50.3641408,100.0,28279.0,0.1429,0.3677,0.2318,0.1687,0.1827,0.8602,0.2257,0.2662,0.1426,0.1611,0.1487,0.283,0.1726,0.1831,0.134,0.1547,0.2038,0.5753,0.0411,0.0455,31.66097516,75.83471698,0
Mason,Illinois,40.23966337,-89.91677898,13931,25.83463113,14.90606991,16.24035993,29.8,27.4,19.41493284,31.20759837,6.252947279,87.04152334,52.41747249,6318,23.4,14.58257382,363.5996364,11.58586689,0.805258833,0.821692687,76.96275402,10.79229544,12.2183656,12.8,11.6,29.64793741,2.910510185,48764.0,50.61992304,37.85054203,77.99900448,9.478916695,20.78142278,22.19683008,0.007634171,50.68927387,77.48534024,25166.0,0.4858,0.8539,0.4343,0.4951,0.5906,0.7876,0.3174,0.5419,0.625,0.6982,0.0468,0.0898,0.0331,0.134,0.4253,0.121,0.5801,0.3983,0.134,0.3066,33.04715698,76.57311475,2
Massac,Illinois,37.2189768,-88.7077276,14883,62.739886,16.49683601,16.24992842,33.4,30.9,18.15071786,36.66895134,6.143525466,86.32117117,62.43946731,5748,26.1,17.42889013,318.1372051,13.86554622,1.512605042,0.336134454,74.51086571,11.37922345,12.64839828,26.0,13.6,31.46617111,3.115179824,43783.0,59.70344527,37.17200114,75.31192813,10.97053726,22.07386364,21.00142046,0.160959906,52.109375,50.50878216,23673.0,0.6944,0.6361,0.547,0.609,0.6603,0.7876,0.4117,0.8325,0.4865,0.8462,0.3919,0.2891,0.3047,0.5272,0.7829,0.3719,0.8472,0.5533,0.7902,0.7189,36.03163636,74.47111111,1
McDonough,Illinois,40.45620284,-90.67791649,31727,53.8286667,17.1754568,16.74929171,34.8,27.1,20.76838597,9.358054924,7.13799519,89.25242019,71.30421503,13359,22.9,13.95062129,257.3657119,15.11824324,1.984797297,1.097972973,78.28998154,11.80151236,12.97591654,9.4,14.3,31.48885554,2.942513969,42887.0,49.2629717,104.8466643,66.72865746,12.02031603,17.07895176,17.63979302,0.517976843,51.01318645,29.50447688,22387.0,0.8695,0.7931,0.6492,0.1063,0.638,0.2732,0.0366,0.2114,0.3976,0.0331,0.4091,0.355,0.3607,0.9086,0.3037,0.5244,0.788,0.9554,0.9287,0.5154,32.86644444,73.66786885,1
McHenry,Illinois,42.32447091,-88.45235841,307083,509.0719752,13.41005033,13.61180006,33.0,21.3,22.03925349,9.321236208,5.953742869,93.09027659,70.464739,165849,7.8,6.987532431,95.73131411,13.69993643,1.671056217,0.467714104,80.43515265,9.118114809,10.55165637,10.1,6.4,29.70759866,3.220187587,86268.0,27.48704138,150.9960519,79.26787822,11.39440638,23.46177529,14.59117866,2.466045456,50.21745471,9.878546444,34589.0,0.0586,0.4502,0.0653,0.1178,0.121,0.0965,0.8195,0.0271,0.2932,0.0764,0.5374,0.802,0.703,0.6326,0.0223,0.4247,0.1076,0.0487,0.0398,0.0812,32.31279334,71.47147541,3
McLean,Illinois,40.49087795,-88.84733132,173254,146.4098895,14.71930529,14.97377371,33.5,23.2,21.94417326,11.60904667,5.12815056,91.58841157,78.26703895,87889,10.5,11.78245981,287.3039433,13.76696232,1.55408991,0.591312258,80.18287591,10.12781757,11.43826429,11.0,11.6,32.34821268,3.117595241,67087.0,35.6087482,202.1515231,64.14849076,11.87095956,21.48725901,13.2270234,0.898692811,51.41527993,16.49682731,31752.0,0.4043,0.2168,0.1041,0.0131,0.1315,0.0675,0.4228,0.0408,0.2888,0.0264,0.5743,0.5934,0.5969,0.9503,0.1691,0.3766,0.5495,0.781,0.6619,0.1933,32.9984297,75.47803279,3
Menard,Illinois,40.02739711,-89.80219266,12576,39.99525481,13.07101738,14.61642518,30.1,22.3,20.98792799,13.55932203,5.407317566,86.88296623,63.11622886,6689,14.5,8.983258473,83.76686359,11.7816092,1.819923372,0.670498084,78.86368129,9.732116125,11.2440532,9.8,9.5,29.95126842,3.208209141,74872.0,37.8042185,16.2145717,77.18353213,7.698460308,21.98079427,19.35221354,0.0,51.26139323,75.69460842,31323.0,0.3066,0.3422,0.1137,0.1598,0.1853,0.5845,0.5209,0.2763,0.695,0.5511,0.086,0.0,0.0191,0.4897,0.2404,0.4897,0.2206,0.2432,0.142,0.1019,33.31606607,76.57311475,0
Mercer,Illinois,41.2053431,-90.74145468,15971,28.45869023,13.72437355,15.15456537,32.6,24.2,20.12544389,20.42098649,5.344136181,87.4,65.0605971,8103,12.6,17.92803176,95.71209801,8.758568165,0.578827114,1.279512567,77.85523967,9.817647628,11.27142195,12.2,10.0,28.19908522,3.104676905,58384.0,37.99065421,30.75170055,77.85326087,8.444724013,21.39606436,21.66527787,0.080488296,50.05448369,77.75952294,27566.0,0.1611,0.3964,0.2748,0.1598,0.2069,0.773,0.4072,0.2267,0.291,0.2611,0.0837,0.092,0.0458,0.4527,0.1493,0.07,0.3986,0.3792,0.0755,0.0646,31.33424788,75.63704918,0
