county,state,lat,lon,total_population,population_density_per_sqmi,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,teen_birth_rate,percent_uninsured,high_school_graduation_rate,percent_some_college,labor_force,percent_children_in_poverty,social_association_rate,violent_crime_rate,percent_severe_housing_problems,overcrowding,inadequate_facilities,life_expectancy,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,average_grade_performance,median_household_income,percent_enrolled_in_free_or_reduced_lunch,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_not_proficient_in_english,percent_female,percent_rural,per_capita_income,percentile_rank_below_poverty,percentile_rank_unemployed,percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_disabled,percentile_rank_single_parent_households,percentile_rank_household_comp_disability_theme,percentile_rank_minorities,percentile_rank_limited_english_abilities,percentile_rank_minority_status_and_language_theme,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_overcrowding,percentile_rank_no_vehicle,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability,mean_winter_temp,mean_summer_temp
Harney,Oregon,43.06414407,-118.9679841,7214,0.711830656,15.66321134,16.27500032,31,22.1,17.80165847,29.83870968,9.799181852,84.38,67.02806122,3417,22.5,10.97544245,230.4952155,14.21568628,2.450980392,0.653594771,78.05015015,12.59954752,14.71761666,11.9,14.9,29.40102176,3.000172827,43370,54.57198444,61.1662819,73.70921761,13.02065103,20.49392823,24.46445627,0.393815636,48.99713467,44.34114794,22795,0.5466,0.972,0.6151,0.3292,0.6539,0.8602,0.2958,0.8141,0.2534,0.6597,0.4343,0.376,0.3887,0.4887,0.9032,0.6816,0.1519,0.581,0.6507,0.6371,23.49,65.72360656
Hood River,Oregon,45.51901008,-121.6510498,22842,43.75120685,15.85034476,14.8258554,25.9,19,19.49394392,21.92242833,11.16531992,83.44,57.76790292,14533,14.7,13.68866835,147.027027,16.98113208,4.138770542,1.935483871,81.31442193,11.74869281,13.12483553,5.3,8.3,29.66750623,3.199134038,66607,52.82689913,84.57727909,66.0264668,11.86355656,24.02680553,15.64794263,9.74640861,50.01280519,52.17488589,28347,0.3483,0.2254,0.2283,0.7934,0.3814,0.2311,0.7915,0.1047,0.0965,0.0745,0.7609,0.9647,0.9118,0.7759,0.5091,0.8892,0.5801,0.7768,0.943,0.5979,35.91,70.77278689
Jackson,Oregon,42.43212824,-122.728533,210916,75.78139105,15.84366152,17.91238445,24.4,15.2,20.36556416,22.98584239,9.341237841,77.04,63.46745608,104763,21,9.472178923,334.8449818,21.60890794,2.864118137,1.226628558,78.97533994,12.33035398,14.46693341,10.3,13.3,31.69718649,3.099440312,55511,53.44355518,179.5450929,63.04952126,18.89298372,20.60674792,21.9689931,1.815720433,51.22060083,20.0525575,25612,0.6479,0.7561,0.3996,0.3827,0.5667,0.7676,0.2961,0.6606,0.6683,0.7778,0.5396,0.7679,0.6832,0.7415,0.6046,0.7539,0.6297,0.4479,0.8354,0.766,38.28,71.12688525
Jefferson,Oregon,44.62944275,-121.1762558,22305,12.51516859,19.61247218,18.65205667,42.6,24,18.1610007,34.12183379,13.07705128,74.15,54.83689539,10241,22.4,7.155484468,222.191992,14.98349835,4.02640264,0.99009901,78.30458831,14.10256703,15.21014246,19.3,13.1,32.07545697,2.437759709,50376,75.68088033,98.28635619,69.53877344,10.13076212,23.47883598,19.48578042,2.001014339,48.42096561,63.12154696,21630,0.7644,0.9599,0.7058,0.6769,0.8322,0.533,0.7272,0.6008,0.9258,0.9436,0.8055,0.7666,0.8421,0.276,0.859,0.8803,0.2206,0.7198,0.7307,0.922,31.12,65.8547541
Josephine,Oregon,42.36549015,-123.5554825,84063,51.30013335,16.07374084,16.98462923,31.1,20.7,17.20579968,25.52668993,8.478247022,69.54,57.14610187,35929,25.2,8.106355383,222.5330996,22.77170788,3.320874066,1.825761932,76.59329636,13.63537101,15.55056476,11.7,14.7,30.55549504,3.057587277,46578,62.21846847,163.308675,66.76580132,18.62877504,19.58738114,25.9849187,0.412333067,51.16199238,44.96391136,23004,0.7294,0.8918,0.5985,0.3919,0.6985,0.9325,0.1722,0.7943,0.4298,0.7421,0.4215,0.3231,0.3461,0.5409,0.689,0.8198,0.5339,0.3263,0.7074,0.6902,42.17,59.32098361
Klamath,Oregon,42.68636936,-121.650136,65946,11.09691476,17.60503499,16.19328746,33,23.2,17.09929205,33.70702541,10.55466957,73.46,59.43854126,29499,25,10.15910958,217.6045115,17.90659036,2.95366439,1.36606978,76.06846444,13.5918994,14.88934653,12.4,14.3,31.51581677,2.734493516,45374,66.42895157,80.88718033,63.80556164,16.15419399,21.73739524,21.19639927,1.759742869,50.01404225,37.58059657,23071,0.6816,0.9124,0.5944,0.4744,0.7141,0.6909,0.377,0.8214,0.568,0.8157,0.5829,0.7386,0.6915,0.6571,0.7074,0.7714,0.6154,0.4097,0.8306,0.8399,29.79,64.28393443
Lake,Oregon,42.79351802,-120.3874083,7799,0.958273372,17.68777326,17.44999493,34.1,32,16.4369185,25.2454418,10.26671538,78.57,56.8790947,3496,22.8,15.26135063,158.4398595,16.27565982,1.143695015,3.225806452,77.48999386,13.4559777,15.16512439,15.2,15.8,30.10762806,3.12809554,44847,53.86178862,53.13657419,63.76645678,13.77487562,19.20294454,25.21893641,0.49771321,46.6810509,63.33122229,20327,0.6227,0.7561,0.802,0.6581,0.7603,0.886,0.0933,0.9586,0.084,0.4954,0.4721,0.4588,0.4565,0.2022,0.8927,0.2394,0.7049,0.8768,0.7109,0.7096,29.83,63.25868852
Lane,Oregon,43.93881493,-122.8475005,360273,79.0817986,15.11288231,15.36012982,27.2,17.5,18.74714899,14.65022731,8.210877702,72.8,69.77209512,181761,22.4,9.579770939,330.4716523,21.51475902,2.321221624,1.670188834,79.37971517,12.1287264,14.66254228,8.7,14.6,28.68729415,3.033530165,53161,53.98993365,284.8769153,58.65167794,18.66351093,18.40515686,19.33347558,1.119242236,50.77250132,17.52299447,25612,0.7405,0.737,0.3996,0.2209,0.5403,0.5018,0.1261,0.6008,0.5151,0.2884,0.5263,0.638,0.5934,0.9074,0.4167,0.6336,0.8274,0.5638,0.893,0.646,38.24,65.46131148
Lincoln,Oregon,44.641982,-123.8682601,46685,47.61847397,16.37081515,15.92215452,36,21.2,16.64152422,26.92200944,10.66470825,77.75,57.68490808,21215,20.3,10.2207686,347.3934767,19.25617813,2.715928554,1.761683386,78.04971298,13.15351501,14.78410674,12,14.2,29.35920072,2.731220497,49265,59.75836431,236.128648,64.49076267,15.1428852,16.92313922,28.43200778,0.649122807,51.77978456,37.58960768,24593,0.6816,0.4616,0.4721,0.3515,0.5033,0.9405,0.0487,0.9067,0.2499,0.6055,0.5285,0.7182,0.6425,0.7405,0.5934,0.7256,0.7049,0.2572,0.7593,0.6514,46.52,56.22448276
Linn,Oregon,44.48888102,-122.535002,119862,52.40848099,14.17093576,16.5748114,36.2,21,19.72904049,24.8049377,8.030357214,74.83,62.63046659,58551,16.3,11.27576031,112.0927847,18.35610401,2.952842662,0.826355223,78.1229635,11.3340529,13.96153398,10.6,13.5,33.31736299,3.104707682,54292,49.58444055,178.6456514,63.59770359,14.55985379,22.52248007,18.58954726,1.257719993,50.555621,31.63826797,22934,0.6049,0.8335,0.6039,0.3244,0.6189,0.4909,0.603,0.689,0.6905,0.8223,0.46,0.5565,0.5065,0.7539,0.5342,0.7711,0.4877,0.1843,0.6065,0.6886,39.57,64.94885246
